ID	問題	画像	選択肢1	選択肢2	選択肢3	選択肢4	選択肢5	選択肢6	選択肢7	正解番号	解説
V001	"フカエルナ\nフカルエナ"	""	"同"	"異"	""	""	""	""	""	2	"位置の入れ替えがあります。"
V002	"コタギデソ\nコタギデソ"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V003	"08371\n08317"	""	"同"	"異"	""	""	""	""	""	2	"数字の順序が異なります。"
V004	"94825\n94825"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V005	"OBQSR\nQBOSR"	""	"同"	"異"	""	""	""	""	""	2	"アルファベットの順序が異なります。"
V006	"uwuvW\nuwVWV"	""	"同"	"異"	""	""	""	""	""	2	"大文字・小文字が異なります。"
V007	"流淚海泥漢\n流淚海泥漢"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V008	"芋草藻花芝\n芋草藻芝花"	""	"同"	"異"	""	""	""	""	""	2	"漢字の順序が異なります。"
V009	"わいるなこ\nわるいなこ"	""	"同"	"異"	""	""	""	""	""	2	"「わい」と「わる」が異なります。"
V010	"そぬならわ\nそぬならね"	""	"同"	"異"	""	""	""	""	""	2	"末尾の文字が異なります。"
V011	"ЭЕШME\nЕЭШТЕ"	""	"同"	"異"	""	""	""	""	""	2	"キリル文字の構成が異なります。"
V012	"ШЕМЕЗ\nШЕМЕЗ"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V013	"ワラクウタ\nワラウクタ"	""	"同"	"異"	""	""	""	""	""	2	"「クウ」と「ウク」が異なります。"
V014	"ユキオイナ\nユキオイナ"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V015	"28357\n28357"	""	"同"	"異"	""	""	""	""	""	1	"完全に一致しています。"
V016	"52501\n62510"	""	"同"	"異"	""	""	""	""	""	2	"数字の構成が異なります。"
V017	"把握（ハアク）"	""	"正"	"誤"	""	""	""	""	""	1	"把握（はあく）で正しいです。"
V018	"投影（トウケイ）"	""	"正"	"誤"	""	""	""	""	""	2	"投影（とうえい）が正しい読みです。"
V019	"兼用（ケンヨウ）"	""	"正"	"誤"	""	""	""	""	""	1	"兼用（けんよう）で正しいです。"
V020	"珍重（チンジュウ）"	""	"正"	"誤"	""	""	""	""	""	2	"珍重（ちんちょう）が正しい読みです。"
V021	"柔和（ジュウワ）"	""	"正"	"誤"	""	""	""	""	""	2	"柔和（にゅうわ）が正しい読みです。"
V022	"規範（キハン）"	""	"正"	"誤"	""	""	""	""	""	1	"規範（きはん）で正しいです。"
V023	"斡旋（アッセン）"	""	"正"	"誤"	""	""	""	""	""	1	"斡旋（あっせん）で正しいです。"
V024	"遂行（ツイコウ）"	""	"正"	"誤"	""	""	""	""	""	2	"遂行（すいこう）が正しい読みです。"
V025	"疾病（シッペイ）"	""	"正"	"誤"	""	""	""	""	""	1	"疾病（しっぺい）で正しいです。"
V026	"重鎮（ジュウシン）"	""	"正"	"誤"	""	""	""	""	""	2	"重鎮（じゅうちん）が正しい読みです。"
V027	"レンタイ（連体）して責任をおう。"	""	"正"	"誤"	""	""	""	""	""	2	"共同ですることは「連帯」です。"
V028	"毎年お盆にはキセイ（帰省）する。"	""	"正"	"誤"	""	""	""	""	""	1	"故郷に帰ることは「帰省」です。"
V029	"環境問題にカンシン（関心）をもつ。"	""	"正"	"誤"	""	""	""	""	""	1	"興味を持つことは「関心」です。"
V030	"それはコダイ（誇大）広告だ。"	""	"正"	"誤"	""	""	""	""	""	1	"大げさに言うことは「誇大」です。"
V031	"多様なヨウト（用途）に使われる。"	""	"正"	"誤"	""	""	""	""	""	1	"使い道は「用途」です。"
V032	"創意とクフウ（工夫）が凝らされている。"	""	"正"	"誤"	""	""	""	""	""	1	"良い方法を考えることは「工夫」です。"
V033	"フクザツ（複雑）な気持ちになる。"	""	"正"	"誤"	""	""	""	""	""	1	"込み入っていることは「複雑」です。"
V034	"食器を戸棚にシュウノウ（収納）する。"	""	"正"	"誤"	""	""	""	""	""	1	"しまい入れることは「収納」です。"
V035	"イッキイチユウ（一喜一憂）する。"	""	"正"	"誤"	""	""	""	""	""	1	"状況により喜んだり不安になったりすること。"
V036	"テキカク（適格）な判断だ。"	""	"正"	"誤"	""	""	""	""	""	2	"間違いのない判断は「的確」です。"
V037	"とけあって一つになること"	""	"合体"	"融合"	"統一"	"一体"	"合算"	""	""	2	"異なるものが溶け合うのが融合です。"
V038	"内容に乏しいこと"	""	"外見"	"真空"	"軽薄"	"虚偽"	"空疎"	""	""	5	"中身がない様子を空疎と言います。"
V039	"支配、管理が及ぶ範囲"	""	"管轄"	"地域"	"面積"	"国家"	"区域"	""	""	1	"権限の及ぶ範囲が管轄です。"
V040	"上品で深みがあること"	""	"かいがいしい"	"めめしい"	"しおらしい"	"いじらしい"	"おくゆかしい"	""	""	5	"控えめで上品な様子をおくゆかしいと言います。"
